iter	Passed	Remaining
1446	19364	709
1447	19382	696
1448	19394	682
1449	19405	669
1450	19414	655
1451	19423	642
1452	19435	628
1453	19447	615
1454	19460	601
1455	19472	588
1456	19486	575
1457	19499	561
1458	19511	548
1459	19529	535
1460	19542	521
1461	19554	508
1462	19569	494
1463	19583	481
1464	19596	468
1465	19660	455
1466	19682	442
1467	19706	429
1468	19727	416
1469	19746	402
1470	19766	389
1471	19783	376
1472	19802	362
1473	19820	349
1474	19838	336
1475	19856	322
1476	19876	309
1477	19895	296
1478	19909	282
1479	19928	269
1480	19945	255
1481	19961	242
1482	19976	228
1483	19992	215
1484	20007	202
1485	20023	188
1486	20040	175
1487	20056	161
1488	20075	148
1489	20091	134
1490	20108	121
1491	20126	107
1492	20140	94
1493	20154	80
1494	20169	67
1495	20182	53
1496	20197	40
1497	20212	26
1498	20229	13
1499	20244	0
